Item_ID	Sentence	Partitive	SentenceLength
4832:49	and if the people 0 they committed a crime against *t*-1, feel, at some later date, that these people have learned their lesson, are, are okay, you know, well, they can free them.	no	33
4996:24	they made a position for them some where.	no	8
5134:16	and that does take some time.	no	6
5150:28	i've been trying *-1 to do some bibs for him. and, uh, work on his christmas stocking.	no	18
5359:35	uh, we had some, uh, some people from our church 0 *t*-1 went to israel, uh, just for a, uh, tour sort of thing.	no	24
5473:21	but, uh, i know some people at t i,	no	9
6390:55	well, you know, t i, you know, t i offers some good stuff	no	13
6391:63	and then i think 0 there's, i mean i think 0 there's some negatives,	no	16
6392:26	but there's going *-1 to be some negatives anywhere, you know, no matter where you go *t*-2.	no	18
6409:32	uh, i can see some, some potential changes that *t*-1 probably are, are, would not cost very much but might, uh, make things a little easier. such as * offering a, a smorgasbord. having a larger variety of benefits	no	39
6575:44	but i guess, 0 they, you could put some money *ich*-1 aside while you were there, your expenses and,	no	19
6585:161	but it *exp*-1 might be interesting * to see what *t*-2 would happen if you took kids at a, and then took then to another country instead of * having being exposed *-5 to all the drugs and violence and sex and everything here, and take them to some other country that *t*-3 had different moral values, like saudi arabia where they couldn't drink *t*-4.	no	66
6601:31	because from what i understand *t*-1, from some of the guys 0 i know *t*-2, you know, crime, uh, is punishable, just almost, uh, instantly and public,	yes	27
6619:201	i, i, i guess, 0 in my own, * having had the whole three or four minutes 0 * to, you know, give it a great deal of thought *t*-1, you know, um, i, i think 0 i agree with you one hundred percent about it being some sort of voluntary,	no	51
6680:29	it would certainly help them to appreciate some of the things that we have *t*-1 here and develop some pride in them, if it was handled *-2 that way.	yes	29
6680:62	it would certainly help them to appreciate some of the things that we have *t*-1 here and develop some pride in them, if it was handled *-2 that way.	no	29
6707:54	and the only opposition to it really was that it was, you know, starting some sort of a military elitist type, you know, special corps of cadre of people and that sort of thing.	no	34
6714:25	really there could be, um, some scandals involved *, if, you know, it wasn't people that *t*-1 were really fair and le-, you know, in a legal way or something,	no	31
6773:12	she started some type of, um, national organization for youth to volunteer *-2 to teach, tutor other kids to read and, you know, do different service projects like that and trying * to get youth more directed towards, you know, helpful things,	no	42
6809:100	and they have situations like, like that down there. where they, they have, these, the social, in some sort of way *t*-1,	no	22
6883:21	and the church helps them out some,	no	7
7012:36	well the, the other thing 0 some people are not aware of *t*-1, is 0 they will use their a, their credit card like their visa or their mastercard for cash	no	31
7087:14	and, then, some people they get so wrapped up in them that they find, you know, one day they find, wow, i didn't realize 0 i had this much, you know, i'd spent this much money.	no	38
7096:12	well, and some people use one credit card *-1 to pay for another credit card 0 they own *t*-2,	no	19
7260:11	we did some remodeling when we bought a house *t*-1,	no	10
7262:13	and painting and some wallpapering,	no	5
7277:19	* kind of gives you some space for yourself,	no	9
7280:12	i made some afghans and that kind of stuff.	no	9
7356:11	they have some nice stuff down there.	no	7
7520:64	the elections where they have that topic *t*-2 seem *-1 to be a little bit better *ich*-3 attended than some of the other ones.	yes	24
7531:35	i can understand why, why some of the, the rural areas, the voter turnout isn't as much because it does seem sometimes like the lobbyists in d c are like controlling things for the, the midwest *t*-1,	yes	38
7580:15	mumblex * hope some of the local,	yes	7
7752:16	but, there are some others out there that i don't believe 0 *t*-1 deserve the money 0 they're getting *t*-2.	no	22
8649:25	you want *-1 to get into some kind of manufacturing,	no	10
8680:13	so she brings some money in.	no	6
8709:103	we've got a, several credit cards that sometimes, um, instead of *-1 paying *t*-2 them all off every month maybe you have *-1 to slip some and you pay part of it this month and part of it next month especially around christmas time.	no	45
8761:7	and some you don't care about *t*-1, you know,	no	10
8858:48	but one of the things that i do *t*-1 when i've got some spare time *t*-2 is i do some woodworking.	no	22
8858:68	but one of the things that i do *t*-1 when i've got some spare time *t*-2 is i do some woodworking.	no	22
8859:66	and that, oh, i guess, ranges anywhere from, uh, carpentry work to, um, um, some types of furniture and, um, oh, i don't know what you would call them *t*-1, knickknacks, i guess, stuff 0 you hang *t*-2 on the wall *-3 to put a mirror on *t*-2	no	49
8860:14	and i made some, um, candle sconces that you hang *t*-1 on the...	no	14
8877:24	so i guess 0 i get some of both.	yes	9
8878:16	what *t*-1 are some of your things 0 you like *-2 to do *t*-3?	yes	14
8923:20	so, those things they take some time 0 * to make *t*-1.	no	12
8950:32	first thing that *t*-1 comes to mind is some kind of chain stitch because she starts and goes all the way across, you know, back and forth until she winds up with this big piece of, of afghan.	no	38
8960:41	if we have a problem with our connection and get disconnected *-1 some time or other, * don't worry about it.	no	22
9098:86	do you, uh, do you think that those are bigger contributors than things like ai-, acid rain and some of the pollutants that *t*-1 come from, uh, industrial areas, factories and so on?	yes	33
9188:50	but i do think that, um, congress has backed down much too much on some of the air pollution standards.	yes	20
9212:45	and in the case of air pollution, it simply might turn out at some point down the road, *-1 to be so costly *ich*-4 *ich*-5 * to have *-3 to live with air pollution in terms of health problems, and everything else that we'll spend the money that *t*-6's necessary * to, uh, to get rid *-2 of the source of it.	no	64
9271:30	uh, once in a while we'll get some, uh,	no	10
9445:74	well, i mean, i, i, i guess 0 i've been in some places, you know, where the weather was just so mild *t*-1, you know, places like monterey, california or, you know,	no	33
9469:5	some people say, uh, 0 they, they like *-1 to watch the changing of the seasons	no	16
9478:65	i, i think, 0 in, in some, in some respects it probably mumblex more tolerable.	no	15
9481:77	well i guess 0 this, the weather isn't as lively a topic as, uh, as some of the others 0 we might have gotten *t*-1.	yes	26
9493:44	well i mean i've had some pretty bad, i guess some pretty controversial topics	no	15
9535:20	and then i've seen some of the star trek movies.	yes	11
9546:74	when i, when i started *-1 thinking about this *t*-2, that those are some of my favorite shows,	yes	18
9570:22	he took a car battery and some wire and two washers one time and made a welder.	no	17
9590:74	but, unfortunately i find 0 * getting rid *-1 of your t v set, you do throw out some, some of the baby, with the bath water.	no	27
9724:26	even in for kids * watching some of it can be a little violent sometimes and stuff.	yes	17
9759:34	i've, i've seen some of them on repeats.	yes	10
9928:60	they don't understand that * to make that work, they've got *-1 to take some responsibility for themselves.	no	20
9931:55	when they give you the freedom * to take care of yourself *t*-1 then that puts some responsibility on you as well.	no	22
10082:48	i like *-1 to go watch the giants when they come to houston some times *t*-2.	no	16
10195:40	unfortunately the rangers don't spread it around quite as big as some of the other teams do *?*.	yes	20
10799:76	but, uh, uh, it, it did show some, some, uh, some interesting things about the f b i	no	18
10853:46	well as, it, as i recall it got some academy awards, didn't it.	no	14
11040:16	but they're predicting some more snow for our direction.	no	10
11176:19	but it does defray it some.	no	6
11190:55	you know that was one thing 0 we noticed *t*-1 last week that we had some new people move into our building and, you know, the nice cardboard boxes that you move, packing boxes. and they were just used *-1 one time and thrown *-1 in the dumpster	no	48
11285:17	but i would buy some cheap wallpaper from somewhere and cover those nice boxes with the lids,	no	17
11310:14	you saved me some money.	no	5
11354:29	and they have aluminum and newspaper and plastic and some other category,	no	12
11524:19	in fact, it got some pretty serious deep parts in it	no	11
11618:36	um, i had a friend who *t*-1 had fixed some, uh, chili, buffalo chili and, about a week before * went *-2 to see the movie.	no	26
11723:23	and i hope 0 you enjoy some more good movies late-,	no	11
11746:80	and i, you know, we, we keep *-1 saying oh yes, we feel 0 some day a woman will be president.	no	21
11747:21	but, uh, i have some question, whether or not they will ever really get around to that.	no	17
11884:61	there, there must be, uh, uh, some of the, some of the, uh, larger plants up, uh, up around one hundred twenty-eight.	yes	22
11945:70	and they thought 0 that was more beneficial because, you know it, it, some of it does soak in	yes	19
11946:8	and some of it runs off right away into the, in to the streams and rivers	yes	16
11947:8	and some of the fish were supposedly making a comeback.	yes	10
12066:82	the, uh, united states and canada are i guess, is, is, going into, uh, some types of agreements * to limit, uh, what *t*-1's being given *-2 out by power plants,	no	32
12150:48	well you might, uh, generate some yeah, you might generate some interest in it.	no	14
12479:52	i believe 0 he was the only one of fifty governors that *t*-1 voted against some kind of resolution of support for israel a few years back.	no	27
12510:59	i mean, i'd like *-1 to see them resolve something in that situation and get some stability in the region	no	21
12525:180	and i think 0 that's the problem 0 the p l o has *t*-1 is that when they, whenever one group of them decides that they're going *-2 to negotiate, or they're going *-3 to do something, they're going *-4 to try *-5 to make some peace *t*-6, but, uh, the end result is that they, there so many factions of them and, uh, some more violent than others, some with a certain agenda different than the others, or they split,	no	85
12525:280	and i think 0 that's the problem 0 the p l o has *t*-1 is that when they, whenever one group of them decides that they're going *-2 to negotiate, or they're going *-3 to do something, they're going *-4 to try *-5 to make some peace *t*-6, but, uh, the end result is that they, there so many factions of them and, uh, some more violent than others, some with a certain agenda different than the others, or they split,	no	85
12525:298	and i think 0 that's the problem 0 the p l o has *t*-1 is that when they, whenever one group of them decides that they're going *-2 to negotiate, or they're going *-3 to do something, they're going *-4 to try *-5 to make some peace *t*-6, but, uh, the end result is that they, there so many factions of them and, uh, some more violent than others, some with a certain agenda different than the others, or they split,	no	85
12913:29	and he, he likes some of the new groups like shenandoah,	yes	11
12971:44	i think 0 my parents have have, uh, some of his records.	yes	12
12973:86	but, uh, i got a, i've got about a hundred and, or had a, uh, some, uh,	no	18
12974:12	i sold some of them,	yes	5
13212:19	there are, uh, some groups that *t*-1 have their children, you know, go away for a year.	no	17
13224:29	i, we were doing some * investigating colleges	no	8
13263:27	well, it seems that there's some things like the, uh, the programs at least just go around and, and, and clean up streets and, and, and pick up trash and even aluminum cans and some of these kinds of things.	no	41
13263:167	well, it seems that there's some things like the, uh, the programs at least just go around and, and, and clean up streets and, and, and pick up trash and even aluminum cans and some of these kinds of things.	yes	41
13326:20	and that is that some of the organizations sell their mailing lists which i think 0 *t*-1 is a, is an invasion of privacy.	yes	24
13335:12	i get some of these things *ich*-4 in the mail that i wonder, where in the world did they get my address *t*-2 or where did they get my name *t*-1 *t*-3.	yes	32
13384:8	but some of them are sold *-1,	yes	7
13389:10	and for some, the reason they have three different names for me.	no	12
13503:17	and if it's some salesman, that just makes it even that much worse.	no	14
13581:22	i knew 0 there was some type of a tie in there.	no	12
13891:51	i think 0 they should either do that, or, or afford some time to the military, or, or *-1 helping elderly people.	no	22
13897:97	i, i, you know, i think that we have a bunch of elderly folks in the country that *t*-1 could use some help	no	23
14550:18	and then they're some sections kind of in the corner areas,	no	12
14566:40	and i went because my dad can usually get a hold of some free tickets, because a lot of those doctors have season tickets,	no	24
14636:31	and he said, * sign up and get some money and just talk for five minutes.	no	16
14681:71	and what we have *-1 to do *t*-2 is, 0 we have *-3 to go, uh, *-4 get some stuff, steal it, and then, you know, just resell it.	no	29
14745:78	we're going *-1 to solve, try *-2 to solve the aids problem while, while, you know, some people are getting killed *-3 here and there	no	26
14787:222	but the guy at the very top, the one who *t*-1's, who *t*-2's really making the millions and the millions is the one who *t*-3 also many times is part of the power structure, uh, the, uh, and had the political uh, pull to keep things from, uh, keep the interest or the emphasis in some other direction, other than on the drug dealing,	no	66
14880:26	i guess 0 i've had some good experience and some bad experience with them.	no	15
14880:35	i guess 0 i've had some good experience and some bad experience with them.	no	15
14933:37	i've, i've talked to some who *t*-1's really had some bad experience	no	15
14933:57	i've, i've talked to some who *t*-1's really had some bad experience	no	15
14980:11	compared to some of the other ones.	yes	7
15066:82	i mean, and it *exp*-2's nice * to, to try *-1 to teach young people some, some, uh, uh, civil, uh, consciousness,	no	23
15071:91	so, i'd have *-1 to say that, uh, it, you know, the people who *t*-2 do it, well, some feel 0 it's rewarding.	no	25
15127:14	like i do some volunteer work here and there,	no	9
15172:30	i think that maybe that's why some people do it *t*-1 is, uh, * to see the other cultures or, you know and some of that.	no	27
15172:97	i think that maybe that's why some people do it *t*-1 is, uh, * to see the other cultures or, you know and some of that.	yes	27
15188:66	after a certain amount of years of service, these employees can take off like six months or something, for some type of sabbatical or some, you know, some, something like that.	no	31
15202:56	it's for, i think, 0 at the same it's for some people * to, you know, help them grow in other areas,	no	24
15243:92	everybody 0 i know *t*-1 has been, well, i'm going *-1 to go *-2 get a goo-, good job and make some money and buy a nice car.	no	29
15293:19	she stuck my name on some list,	no	7
15445:32	now, i've seen, you know, some different clips of it, um,	no	12
15659:22	well, now, we had some friends that *t*-1 went *-2 to see it	no	13
15665:36	i think 0 they may be playing up um, some aspects of the movie that *t*-1 aren't the main aspects.	no	21
15752:19	now we've let some people *ich*-1 go, uh, that wa-, we, was found that drugs were used *-2 in *t*-3 their system.	no	23
15758:20	uh, if there's some, uh, problem i know,	no	9
15779:43	and then i also had a friend who *t*-1 was just around some people that *t*-2 were smoking cocaine.	no	19
15812:6	some of the places *ich*-1 now, um, like i b m don't allow them smoking, you know in, in the plant.	yes	22
15949:7	in some cases	no	3
15964:42	i mean, and they have, they have some serious chemicals out there you know,	no	14
15980:18	so i think 0 some place, you know, places like that, it should be like mandatory like, you know, on, on a, on a greater frequency than maybe, just, you know, paper pushers like, like i am *?*.	no	39
16094:35	that's what it said * to discuss *t*-1 some	no	10
16118:30	and i have two different kinds of breads and some ham	no	11
16121:25	i was going *-1 to make some, uh, like fish chunks and dip it in the fondue.	no	17
16129:5	some people like swiss, um,	no	5
16227:51	and they, they mumblex they go *-1 melt some chocolate chips,.	no	11
16228:21	* go *-1 buy me some strawberries.	no	7
16258:63	i think 0 the, uh, actually i think 0 they get, um, some of them from south america.	yes	18
16324:6	some of them, they used *-1 to be a hundred dollars,	yes	11
16365:41	you put, um, really good vanilla favoring *ich*-1 in it and some butter	no	13
16386:26	ri-, i have some.	no	4
16479:14	and, um, some people don't like that, that, film on the pudding	no	13
16516:28	i was trying *-1 to think about some of my favorite people that i liked *t*-2 in music	yes	18
16548:27	i, i like some of his songs, though.	yes	8
16916:77	i mean, pretty much a lot of people would know about it, you know, and, and know some of the different things about it	yes	24
16917:44	but, uh, they, they might weed you out some other way.	no	11
17027:15	he's written some children's books as well	no	9
17246:8	for some reason that scared me more than anything.	no	9
17338:17	and then he has some under, uh, another name. that he's written *t*-1.	no	14
17367:44	and, after i, i graduated, i read some of the old classics that i just bluffed my way through *t*-1 and have found that i enjoy them quite a bit, too, uh,	yes	32
17501:22	i've, uh, had some health problems that *t*-1 have led me to, uh,	no	14
17660:63	maybe if i can get interested in *-1 playing softball again this string i can, uh, start some type of, uh, regular program.	no	23
17824:36	they're always in, in hawaii some place.	no	8
17870:41	i haven't watch any other ones on t v. just on some of the tapes.	yes	16
17941:27	but there has got *-1 to be some kind of punishment, for these people.	no	14
17979:30	uh, they sure are *?* just because, some innocent person, can really,	no	13
18056:61	and, but, i, don't know what else * to do *t*-1 with some of these people, that *t*-2 are,	yes	20
18121:39	and people like charles manson, and, and some of these other people, who *t*-1 were sentenced *-2 to death at the time 0 they repealed the death penalty *t*-3, were sentenced *-4 to life in prison, and are now,	yes	39
18275:22	* trying *-1 to get some color back in those, get the trees trimmed *-2 up, uh, get rid *-3 of a few weed problems and things like that.	no	29
18416:39	in fact, we put in some, uh, some more roses yesterday.	no	11
18466:131	just if you want a lot of, you know, light for underneath, that may be the, all right because we had, because we have some, we have some old fruit trees.	no	31
18540:20	and they just,, have some problems, big time problems	no	9
18601:25	they have *-1 to pay like some kind of fee per year.	no	12
18611:7	and some places, they, they, they really nail them for tax.	no	11
18679:111	my, my wife and i, we planted on the, on the south side of our, of our house we planted some gardenias.	no	22
18722:34	i, i do, uh, some lotus on it. uh, do some, uh, samna, some, uh, p f m, uh, nothing extremely complex.	no	22
18722:56	i, i do, uh, some lotus on it. uh, do some, uh, samna, some, uh, p f m, uh, nothing extremely complex.	no	22
18722:70	i, i do, uh, some lotus on it. uh, do some, uh, samna, some, uh, p f m, uh, nothing extremely complex.	no	22
18791:25	i used it on, uh, some other machines in days gone by and was real pleased *-1 to leave it.	no	20
18834:28	uh, maybe you'll play around some and figure out how they can help you do different things *t*-1.	no	19
18966:37	but i'm sure that they can, uh, find some sort of, uh, use for them if, you know, you know, there,	no	22
19175:22	and i've seen where some places have taken a plastic *t*-3 and, uh, they're recycling them into other plastics. and the styrofoam also into insulation and things like that *t*-3	no	32
19189:72	and you're not going *-1 to bother *ich*-3 if you have one bag full, *-4 to drive all the way to some recycling center *-2 to turn in just your little plastic peanuts.	no	34
19285:76	the evidence is that, uh, you know, he's, he's let some, some stuff *ich*-1 go, you know, the east german situation.	no	23
19303:14	it's just some ungodly number * just to support the military machine.	no	13
19334:139	and, you know, i even had a thought *ich*-2 once that the whole iraqi thing might have been just a, a deal *-1 to go ahead and let us, uh, you know, expend some, some military hardware.	no	37
19388:44	and i think 0 he's actually, honestly trying *-1 to do some change.	no	14
19395:82	well, this would be like if somebody was elected *-1 president of the united states and suddenly took off toward, you know, just some pretty hard by the socialism,	no	29
19448:8	and some of the countries that *t*-1 were forced *-3 in at th-, later dates is the three baltic countries, you know, 0 *t*-2 came in, in the forties,	yes	29
19509:16	you know, some reason or other, you know, is, uh,	no	10
19543:12	they had some real fancy names for them.	no	8
19590:19	although, i've seen some evidence that, you know, the, uh, the russian soldiers are,	no	15
19737:29	it was made *-2 * to placate some of the northern support but not completely alienate all the southern support because, you know, it was, uh, if you read it, it only emancipated those who *t*-1 were in areas, uh, in rebellion against the united states.	yes	46
19768:12	where's some reference to this goddamn state of texas and the role that they played *t*-1 either leading up to *rnr*-2 or in *rnr*-2 the civil war *t*-3.	no	29
19784:13	they were some groups of it, the vicksburg,	no	8
19785:106	if you ever get a chance * to go over to vicksburg, the battleground at vicksburg, uh, there's an area there where there was, uh, some texas, uh, groups *t*-1	no	31
19973:6	some of those get very philosophical	yes	6
20043:15	um, well, some history, books are pretty scary,	no	8
20089:20	even better than jaws and some of that?	yes	8
20186:238	well, i think 0 in a way, though, uh, uh, i also have, uh, an opposite point of view, which *t*-1 is, uh, 0 although i believe 0 we should, uh, permit, uh, you know, constant immigration into this country uh, i think 0 we should, uh, primarily for economic reasons, i think 0 we should have, um, some quotas,	no	60
20214:27	there are, were some, uh, regulations *ich*-2 over, i don't know whether they're laws passed * or, or whatever they're called *-4 *t*-1, uh, just recently, where, uh, people with certain diseases can not be excluded *-5, uh, from, uh, immigration *t*-3.	no	45
20220:49	so i think 0 in, in some as-, some ways we are, uh, becoming a little too egalitarian in that, in that sense,	no	23
20350:44	i thought 0 maybe you had come from somewhere else and had some experience with taxes there.	no	17
20761:27	well, i know that we have some relatives that *t*-1 live around, like the mumblex area in there,	no	18
20765:24	i know 0 they're doing some curbside recycling as a kind of a test there.	no	16
20769:130	when they first started *-2 doing that in the paper, and i read about that *t*-1, i was just praying that, that would be in our area, because we've been recycling for quite some time.	no	36
20777:51	they'll help you, recycle, because we, there is some bins, like behind wal-mart, that *t*-1 take some things.	no	19
20777:80	they'll help you, recycle, because we, there is some bins, like behind wal-mart, that *t*-1 take some things.	no	19
20879:37	and so, you know, when i found out some places 0 * to take it *t*-1 *t*-2,	no	17
20880:33	and, um, like, um, they also take some things at the flower mound dump behind the fire station there,	no	19
20881:73	and i know that they're going *-1 to use, you know, the money for that *-2 to build some kind of multipurpose field and that type of thing. put lights and stuff	no	33
21056:15	but, uh, some of the crap that *t*-1's on t v nowadays, it's about.	yes	16
21159:16	i think 0 some of the tones of the, the daily prime time is questionable,	yes	15
21294:51	in fact, there was one show that he even turned down a date with some, you know, beautiful woman *t*-1 just because the idea that he was, his mind was on the ozone layer and, you know, global warming and all this other kind of stuff.	no	46
22053:6	some of them are interested.	yes	5
22453:44	you didn't get a big kick out of *-1 killing them like some people do?	no	16
22479:112	so, i have not done, uh, much freshwater fishing oh, for, you know, lake, lake fishing for bass and so forth but, uh, maybe some what they call *t*-1 brim and those sorts of things, but nothing,	no	37
22666:79	of course what i used *-1 to like *-2 to do *t*-3 though is * go *-4 snorkeling for scallops *ich*-5 in some of the bays, or uh, or oy-, for oysters.	yes	32
22692:30	so, we thought well, maybe there are some crab in here,	no	11
22693:24	we'll try *-1 to catch some crab.	no	8
22733:57	i guess 0 the weirdest thing 0 i've ever caught *t*-1 is, uh, in some of the inlets and the rivers around mumblex delaware.	yes	25
22835:54	but, um, we kind of thought that maybe they just wanted *-1 to give him some medication * to sort of, you know keep him real out of it all the time	no	32
22968:14	now there is some really nice ones.	no	7
22969:26	there's also, you know, some private ones, you know	no	10
23028:35	and then on the other hand, i've seen 0 some people go into the nursing home and * just so happy you know.	no	24
23053:56	but i guess 0 once you get ill, then, you know, you really have some problems if you can't get around and do things.	no	25
23171:117	* seems so much easier *ich*-3 *-1 just to take it and throw it in the trash, and have them pick it up than it *exp*-4 is *?* * to smash the cans and drive it some place * to have them.	no	43
23212:31	but, um you know, occasionally we have some around,	no	9
23264:36	i'm sure 0 they're probably doing that here some.	no	11
23467:135	well, i think, i think 0 basically we're in a lot of agreement, uh, in that i certainly agree that for any case involving serious injury to another person then maybe that needs, uh, some kind of legal definition.	no	40
23477:25	maybe there ought *-1 to be some kind of, of, uh, mumblex	no	12
23544:59	and * let's, you know, let's get rid *-1 of some of this harassment suing.	yes	17
23576:17	it's in there some place.	no	6
23663:12	what are some of your favorite foods *t*-1?	yes	8
23667:30	i imagine 0 in argentina you've got some great foods.	no	11
23674:35	we got, we got what some people call *t*-1 the best beef in the world.	no	15
23895:103	and if you like chinese food, you can take filet of fish and put a little bit of soy sauce and a little bit of sesame oil on top of it and chop some scallions and a little ginger and just cover it with some, uh, waxed paper and steam it just until the fish is done,	no	57
23895:131	and if you like chinese food, you can take filet of fish and put a little bit of soy sauce and a little bit of sesame oil on top of it and chop some scallions and a little ginger and just cover it with some, uh, waxed paper and steam it just until the fish is done,	no	57
23945:10	uh, some chopped up scall-, um, you know, slivers of scallions. and slivers of ginger.	no	15
24028:26	* use the same hoi sin sauce and some of the frozen mixed vegetables.	yes	14
24088:35	depending upon the field, i know 0 there are some fields which a person should go to the school, that school, all four years *t*-1,	no	25
24089:24	but i know 0 there are some fields where it's really not necessary *t*-1.	no	15
24225:42	and, um, i also have a good languages background, linguistics. and some psychology.	no	13
24373:25	it never hurts * to have some kind of a grounding in law.	no	13
24421:46	i, i thought 0 maybe you might have had some experience with the, uh, r c one thirty-fives.	no	18
24451:17	they actually should do some reading	no	6
24454:49	and it, and if it's possible * even get some experience at it or at least watch some people do it.	no	22
24454:71	and it, and if it's possible * even get some experience at it or at least watch some people do it.	no	22
24476:15	there are just some people that i, you know,	no	9
24487:125	i, i, i hate, um, *-1 having *-2 to play such a nice guy. you know, especially when it's all phony *t*-3. especially when you got some, uh, jerk coming in *t*-4.	no	33
24597:29	if someone's having personal problems *ich*-2 for some reason that *t*-1's causing them to h-, behave differently	no	19
24612:128	and, and it's and it's based *-4 on, on a perception that someone has *t*-3 as how a drug user would behave *t*-2 when some drug users behave, uh, normal *t*-1, uh, you know.	no	36
24638:25	so see i, for some reason, i've come up three times.	no	12
24803:52	well, that's really too bad because it, it's giving some people unfair advantage.	no	15
24830:9	and some of the, the better parts of the metroplex, the, the suburbs that *t*-1 are richer have those kind of target schools.	yes	23
24834:125	it's like if, if your father owns a grocery store and you're really interested in that, there's no reason that you should take college prep courses *t*-1 when you can get some general business courses in high school *t*-2.	no	42
24878:26	and, you know, there's some kids that, you know, *t*-1 want *-2 to go *-3 learn,	no	17
24943:14	i can see some lady,	no	5
24991:33	maybe we do, we need some more catholic schools,	no	9
24994:15	in, uh, some places, uh, you couldn't go to a public school.	no	13
25042:19	uh, we also have some two year college.	no	8
25102:16	and i'm not some kind of an idiot,	no	9
25303:88	well, um, oh, i guess 0 another thing 0 i've noticed *t*-1, too, here lately is that even though we've had some pretty warm days, it's been awfully gray, you know, just,	no	35
25370:30	they said that we had a freeze and some kind of bad weather. you know	no	15
25508:57	and, uh, we'll get out of the driving range and, and get some interest built *-1 up	no	18
25637:32	and then, you know, we've got some guys here that *t*-1 they are, you know, four and five handicappers	no	20
26087:51	well, * having, having been out of the credit game for some years now, i've gotten used to *-1 either paying in cash or not getting it.	no	28
26317:56	and, and, it's, it's limited application in some respects.	no	11
26650:33	or maybe * offer them, you know, some sort of an incentive * to do it. uh, you know college credit, you know, something, you know,	no	26
26760:65	and, and that way, *-1 handling it that way they could probably get some results out of it.	no	18
26781:37	but, they would have *-1 to be supported *-2 in some way,	no	12
26792:39	or would they really, you know, make a contribution of some kind.	no	12
26844:30	and, i think, that they could get some results from that, because there are a lot of people who *t*-1 are volunteer and community minded,	no	25
27002:15	i've seen some districts where all the schools are lousy *t*-1	no	12
27081:6	some of them were even better behaved.	yes	7
27173:11	and consequently some of the very best students were, had excellent memories	yes	12
